time_stamp,entity,new_status
1628853000.0,automation.cameraOffWhenAtHome,on
1628853000.0,automation.lightsOffWhenTooBright,unavailable
1628853000.0,automation.cameraOnWhenUserLeave,on
1628853000.0,automation.lightsOnWhenMotionDetected,on
1628853000.0,window,off
1628858955.422909,window,on
1628890991.009191,window,off
1628927106.658362,window,on
1628935245.169288,window,off
1628853000.0,ipCamera.motionActive,off
1628854089.295012,ipCamera.motionActive,on
1628854100.18251,ipCamera.motionActive,off
1628855233.753263,ipCamera.motionActive,on
1628855255.737226,ipCamera.motionActive,off
1628855641.505595,ipCamera.motionActive,on
1628855675.664788,ipCamera.motionActive,off
1628855700.528419,ipCamera.motionActive,on
1628855722.212129,ipCamera.motionActive,off
1628855752.964095,ipCamera.motionActive,on
1628855763.186263,ipCamera.motionActive,off
1628857213.35153,ipCamera.motionActive,on
1628857234.837878,ipCamera.motionActive,off
1628858943.71751,ipCamera.motionActive,on
1628858954.712015,ipCamera.motionActive,off
1628861838.907327,ipCamera.motionActive,on
1628861849.309176,ipCamera.motionActive,off
1628863617.977995,ipCamera.motionActive,on
1628863639.634967,ipCamera.motionActive,off
1628863834.173261,ipCamera.motionActive,on
1628863856.043536,ipCamera.motionActive,off
1628863866.907021,ipCamera.motionActive,on
1628863889.655865,ipCamera.motionActive,off
1628889800.292099,ipCamera.motionActive,on
1628889821.826265,ipCamera.motionActive,off
1628891001.922092,ipCamera.motionActive,on
1628891012.299844,ipCamera.motionActive,off
1628891169.547785,ipCamera.motionActive,on
1628891181.346681,ipCamera.motionActive,off
1628927107.229339,ipCamera.motionActive,on
1628927129.840519,ipCamera.motionActive,off
1628930599.999875,ipCamera.motionActive,on
1628930621.79888,ipCamera.motionActive,off
1628930732.047174,ipCamera.motionActive,on
1628930754.84299,ipCamera.motionActive,off
1628933506.270605,ipCamera.motionActive,on
1628935252.321885,ipCamera.motionActive,off
1628853000.0,phone.charging,off
1628877497.402147,phone.charging,on
1628879245.697555,phone.charging,off
1628938936.256739,phone.charging,on
1628853000.0,door,off
1628854005.923423,door,on
1628855711.454974,door,off
1628858740.073589,door,on
1628863339.476601,door,off
1628863401.746281,door,on
1628863420.113412,door,off
1628865592.771081,door,on
1628865699.047885,door,off
1628872827.031538,door,on
1628887331.197854,door,off
1628888891.653916,door,on
1628890623.046545,door,off
1628926907.319546,door,on
1628927095.7912,door,off
1628932266.851834,door,on
1628933553.960719,door,off
1628933591.220882,door,on
1628933646.39618,door,off
1628853000.0,rolo.position,open
1628855756.082861,rolo.position,closed
1628857206.185204,rolo.position,open
1628891084.350603,rolo.position,closed
1628926831.89314,rolo.position,open
1628853000.0,phone.atHome,home
1628853782.130569,phone.atHome,home
1628854801.289696,phone.atHome,home
1628855183.849234,phone.atHome,home
1628856152.636312,phone.atHome,home
1628857123.96174,phone.atHome,home
1628857240.521984,phone.atHome,home
1628857382.043295,phone.atHome,home
1628858402.148738,phone.atHome,home
1628858766.14505,phone.atHome,home
1628858942.045827,phone.atHome,home
1628859901.278815,phone.atHome,home
1628860852.871769,phone.atHome,home
1628861760.056451,phone.atHome,home
1628862275.227148,phone.atHome,home
1628862453.312024,phone.atHome,home
1628863045.494114,phone.atHome,home
1628863201.235914,phone.atHome,home
1628864221.959454,phone.atHome,home
1628864401.321408,phone.atHome,home
1628865376.346904,phone.atHome,home
1628866420.61053,phone.atHome,home
1628866548.805313,phone.atHome,home
1628867522.060375,phone.atHome,home
1628868542.344147,phone.atHome,home
1628869512.618045,phone.atHome,home
1628870253.823391,phone.atHome,home
1628870473.130995,phone.atHome,home
1628870893.773188,phone.atHome,home
1628871859.39595,phone.atHome,home
1628872639.665023,phone.atHome,home
1628873642.207491,phone.atHome,home
1628874584.037751,phone.atHome,home
1628877485.886143,phone.atHome,home
1628877611.639655,phone.atHome,home
1628878561.509859,phone.atHome,home
1628879384.386697,phone.atHome,home
1628879439.268134,phone.atHome,home
1628879630.402746,phone.atHome,home
1628879660.523447,phone.atHome,home
1628879690.071667,phone.atHome,home
1628879723.333648,phone.atHome,home
1628879753.969381,phone.atHome,home
1628879810.441582,phone.atHome,home
1628879827.262148,phone.atHome,not_home
1628879860.994567,phone.atHome,not_home
1628879911.083268,phone.atHome,not_home
1628879961.037815,phone.atHome,not_home
1628880011.781193,phone.atHome,not_home
1628880061.329222,phone.atHome,not_home
1628880110.946078,phone.atHome,not_home
1628880161.466369,phone.atHome,not_home
1628880194.159109,phone.atHome,not_home
1628880244.178813,phone.atHome,not_home
